Order ID,start_x,start_y,end_x,end_y,ori_order,ori_distance,opt_order,opt_distance
18,0,0,0,0,"['379184', '392028', '391231', '373389']",64,"['391231', '392028', '373389', '379184']",68
19,0,0,0,0,"['848856', '393114', '397759', '135359']",44,"['848856', '393114', '397759', '135359']",44
20,0,0,0,0,"['397023', '396275', '2176822', '277444']",44,"['277444', '2176822', '397023', '396275']",44
21,0,0,0,0,"['1365', '915008', '395667', '2353999', '2355128', '2353376', '2332456', '2363688', '2350751', '408600', '38512', '657803', '920290', '1072892', '398496', '399274', '1324430']",160,"['1072892', '920290', '657803', '915008', '2350751', '2353999', '2355128', '2353376', '2332456', '2363688', '398496', '399274', '38512', '1365', '395667', '1324430', '408600']",72
22,0,0,0,0,"['1605984', '1101321', '195946', '1101337', '1101327', '383599', '381992', '89769', '219130']",104,"['1101337', '1101321', '195946', '1101327', '383599', '381992', '1605984', '89769', '219130']",80
23,0,0,0,0,"['71795', '364846', '100792', '289088', '2625629', '204257', '194170']",116,"['364846', '204257', '71795', '194170', '100792', '2625629', '289088']",72
24,0,0,0,0,"['371198', '30668', '322367', '272175', '1190989', '391857', '393069']",108,"['391857', '30668', '393069', '1190989', '272175', '371198', '322367']",84
25,0,0,0,0,"['334956', '1114834', '91849']",44,"['334956', '1114834', '91849']",44
26,0,0,0,0,"['383599', '381992', '258569', '324086', '1456044']",76,"['324086', '383599', '381992', '258569', '1456044']",64
27,0,0,0,0,"['405691', '391079', '380057', '179949', '1044876']",64,"['391079', '380057', '179949', '1044876', '405691']",68
28,0,0,0,0,"['948360', '360062', '42416', '324086']",56,"['324086', '360062', '42416', '948360']",56
29,0,0,0,0,"['1720533', '272258', '239436', '230004', '219130', '1400574']",108,"['272258', '239436', '230004', '1720533', '1400574', '219130']",92
30,0,0,0,0,"['308245', '137041', '341789', '316459']",48,"['308245', '137041', '341789', '316459']",48
31,0,0,0,0,"['145613', '363243', '365167', '387191', '1192416', '1321', '1101319']",104,"['387191', '365167', '1101319', '1192416', '1321', '145613', '363243']",84
32,0,0,0,0,"['1147851', '61210', '231434', '76182', '388082', '388746', '361415', '379553', '357344', '396342', '89769', '391835', '359287', '160922', '392028', '108775', '274852', '286783']",128,"['359287', '160922', '231434', '274852', '286783', '379553', '108775', '392028', '391835', '89769', '61210', '388746', '361415', '388082', '76182', '357344', '396342', '1147851']",92
33,0,0,0,0,"['106685', '260033', '103926', '205427']",48,"['205427', '106685', '260033', '103926']",48
34,0,0,0,0,"['257415', '111873', '287467', '1101838', '287261', '1689273', '398302']",88,"['111873', '287261', '1689273', '287467', '257415', '398302', '1101838']",72
35,0,0,0,0,"['148548', '143230', '398335', '398325', '36346', '230013']",48,"['398335', '148548', '143230', '398325', '36346', '230013']",40
36,0,0,0,0,"['365028', '387238', '366339', '223681']",52,"['223681', '365028', '387238', '366339']",52
37,0,0,0,0,"['81941', '227150', '287164', '89769']",80,"['227150', '287164', '81941', '89769']",64
38,0,0,0,0,"['31378', '108335', '5697', '2489041']",68,"['31378', '5697', '108335', '2489041']",64
39,0,0,0,0,"['392017', '391888', '378837', '1333672', '1164788', '276338', '185422']",56,"['392017', '391888', '378837', '1333672', '185422', '1164788', '276338']",56
40,0,0,0,0,"['204257', '193832', '60315', '679025']",56,"['204257', '60315', '193832', '679025']",52
41,0,0,0,0,"['335765', '30440', '230546', '41100']",40,"['230546', '41100', '335765', '30440']",40
42,0,0,0,0,"['360218', '137790', '24294', '131627', '145989', '251547', '244708']",84,"['137790', '24294', '131627', '360218', '145989', '251547', '244708']",64
43,0,0,0,0,"['5735', '350562', '180023', '32895', '22234', '321099', '111873', '499508', '1101259', '392000']",72,"['1101259', '180023', '350562', '32895', '111873', '5735', '321099', '392000', '22234', '499508']",44
44,0,0,0,0,"['207762', '392705', '46071', '324086', '475132', '475125']",72,"['324086', '475132', '207762', '392705', '46071', '475125']",52
45,0,0,0,0,"['307102', '1101337', '387191', '2150316', '2620913', '2620902', '1102073']",68,"['387191', '1101337', '307102', '2150316', '2620913', '2620902', '1102073']",60
46,0,0,0,0,"['1192448', '184241', '226774', '185422', '950952', '193832']",60,"['184241', '226774', '185422', '193832', '950952', '1192448']",60
47,0,0,0,0,"['231434', '286783', '274852', '49524', '170758', '76182', '264804', '1456044', '108775', '380552', '227318', '408295', '408451', '308223', '59538', '348200', '1101294', '1101291', '1101290', '1101292', '385901', '207762', '311912', '19704', '357643', '375582', '475110', '660042', '54430', '395701', '236272']",172,"['408295', '227318', '408451', '236272', '54430', '395701', '1101292', '1101290', '1101291', '1101294', '385901', '207762', '375582', '170758', '1456044', '264804', '108775', '380552', '308223', '49524', '76182', '357643', '475110', '59538', '348200', '311912', '19704', '231434', '274852', '286783', '660042']",88
48,0,0,0,0,"['2625154', '1019019', '100382', '154720', '299576', '817287', '336712', '1734057', '82591', '259577', '1075851', '365562', '259577', '343071', '1080194', '191091', '291100', '2137707', '289491', '51164', '2626882', '751202']",208,"['2625154', '1734057', '154720', '336712', '259577', '259577', '751202', '343071', '289491', '299576', '51164', '2137707', '191091', '1080194', '365562', '291100', '100382', '817287', '1075851', '1019019', '2626882', '82591']",80
49,0,0,0,0,"['356984', '376926', '360031']",32,"['356984', '376926', '360031']",32
50,0,0,0,0,"['254322', '179564', '254322', '165051']",44,"['254322', '179564', '254322', '165051']",44
51,0,0,0,0,"['206570', '265089', '354517', '136990', '322374']",56,"['136990', '322374', '265089', '354517', '206570']",56
52,0,0,0,0,"['208299', '147629', '311368', '48409', '255229']",72,"['311368', '255229', '208299', '147629', '48409']",68
53,0,0,0,0,"['95075', '328242', '349267', '225316', '303243']",56,"['328242', '303243', '349267', '225316', '95075']",48
54,0,0,0,0,"['396806', '396805', '363644', '2150800']",76,"['396806', '396805', '363644', '2150800']",76
55,0,0,0,0,"['82695', '49925', '387491', '365587']",56,"['387491', '365587', '82695', '49925']",56
56,0,0,0,0,"['356984', '376926', '360031']",32,"['356984', '376926', '360031']",32
57,0,0,0,0,"['205154', '221912', '379532', '196285']",44,"['205154', '221912', '379532', '196285']",44
58,0,0,0,0,"['259556', '172768', '379019']",60,"['259556', '172768', '379019']",60
59,0,0,0,0,"['29598', '1321', '294908', '383371', '239574', '239436', '245818', '195946', '342032']",84,"['342032', '239436', '383371', '294908', '239574', '1321', '29598', '245818', '195946']",76
60,0,0,0,0,"['1423411', '1423408', '356430', '392723', '488554', '488542']",56,"['1423411', '1423408', '392723', '488554', '488542', '356430']",52
61,0,0,0,0,"['7177', '306809', '245715', '42210', '1138']",36,"['1138', '7177', '306809', '245715', '42210']",36
62,0,0,0,0,"['1102104', '149408', '72860', '195946', '373288', '780493', '391857']",72,"['391857', '373288', '195946', '72860', '149408', '1102104', '780493']",64
63,0,0,0,0,"['1058452', '362469', '17057', '393663', '399874', '2184187']",56,"['2184187', '399874', '17057', '393663', '1058452', '362469']",56
64,0,0,0,0,"['52017', '372539', '305367', '110313', '156385']",36,"['52017', '372539', '305367', '110313', '156385']",36
65,0,0,0,0,['70172'],56,['70172'],56
66,0,0,0,0,"['208299', '147629', '311368', '48409', '255229']",72,"['311368', '255229', '208299', '147629', '48409']",68
67,0,0,0,0,"['1145766', '17057', '1145765', '2586530', '395664']",88,"['2586530', '1145765', '1145766', '17057', '395664']",68
68,0,0,0,0,"['1406725', '4847', '476883', '350155', '391890', '741988']",60,"['741988', '391890', '4847', '350155', '476883', '1406725']",56
69,0,0,0,0,"['337003', '394165', '309096', '383371', '176484', '1190168', '71795', '41100', '204756', '96509', '1588730', '239436', '151579', '285408', '34182', '306176', '180023', '32895', '191515', '327710', '156753']",128,"['96509', '41100', '204756', '151579', '1588730', '383371', '239436', '306176', '191515', '327710', '180023', '34182', '285408', '32895', '156753', '309096', '71795', '176484', '1190168', '337003', '394165']",72
70,0,0,0,0,"['42416', '365028', '387238', '366339']",48,"['42416', '365028', '387238', '366339']",48
71,0,0,0,0,"['96509', '204756', '41100', '2150795', '709705', '323532']",80,"['96509', '204756', '41100', '323532', '709705', '2150795']",80
72,0,0,0,0,"['49473', '31378', '128827', '148141']",76,"['148141', '31378', '128827', '49473']",76
73,0,0,0,0,"['2625639', '2625640', '2625638', '1621140', '1628548', '1622189', '1622221', '2136618', '2253383', '2624695', '1623758', '1628622', '1622191', '1628109', '2253361', '2253119']",36,"['2625639', '2625640', '2625638', '1621140', '1628548', '1622189', '1622221', '2136618', '2253383', '2624695', '1623758', '1628622', '1622191', '1628109', '2253361', '2253119']",36
74,0,0,0,0,"['322161', '70619', '71141', '191076']",36,"['322161', '70619', '71141', '191076']",36
75,0,0,0,0,"['155925', '81066', '1192657', '391857']",48,"['391857', '1192657', '155925', '81066']",48
76,0,0,0,0,"['87798', '475044', '84012', '736830', '1190986', '176484', '780493', '661741', '89769']",116,"['87798', '661741', '176484', '84012', '736830', '475044', '1190986', '89769', '780493']",80
77,0,0,0,0,"['2150795', '59313', '48365', '355027', '336788']",92,"['59313', '48365', '355027', '336788', '2150795']",80
78,0,0,0,0,"['391888', '193832', '206395', '392019']",44,"['391888', '193832', '206395', '392019']",44
79,0,0,0,0,"['193618', '154454', '17653', '100598']",60,"['154454', '100598', '17653', '193618']",52
80,0,0,0,0,"['294886', '257518', '164588', '311561']",52,"['294886', '257518', '164588', '311561']",52
81,0,0,0,0,"['249966', '70012', '396795', '363644']",60,"['249966', '70012', '396795', '363644']",60
82,0,0,0,0,"['1101314', '1117760', '251547', '272457', '372898', '708440']",80,"['372898', '708440', '1101314', '251547', '272457', '1117760']",60
83,0,0,0,0,"['780187', '2166906', '360342', '358857']",52,"['780187', '2166906', '360342', '358857']",52
84,0,0,0,0,"['17032', '68048', '374101']",48,"['374101', '17032', '68048']",48
85,0,0,0,0,"['383599', '381992', '366647', '5307', '91849', '113039', '376286']",68,"['91849', '113039', '376286', '383599', '381992', '366647', '5307']",64
86,0,0,0,0,"['103926', '106685', '260033']",48,"['103926', '106685', '260033']",48
87,0,0,0,0,"['352293', '386536', '358424', '375744']",64,"['386536', '358424', '375744', '352293']",64
88,0,0,0,0,"['382158', '388198', '286783', '34054']",76,"['286783', '382158', '388198', '34054']",56
89,0,0,0,0,"['360056', '367941', '198029', '17112']",52,"['367941', '360056', '17112', '198029']",48
90,0,0,0,0,"['190046', '1720591', '1400584', '1400569', '391857']",60,"['391857', '190046', '1720591', '1400584', '1400569']",52
91,0,0,0,0,"['219501', '208974', '168753', '1399145', '1327769']",48,"['219501', '208974', '168753', '1399145', '1327769']",48
92,0,0,0,0,"['219501', '317225', '208974', '392501', '168753', '1399145', '1327769']",68,"['219501', '208974', '168753', '392501', '317225', '1399145', '1327769']",48
93,0,0,0,0,"['365028', '387238', '366339']",48,"['365028', '387238', '366339']",48
94,0,0,0,0,"['356984', '376926', '360031']",32,"['356984', '376926', '360031']",32
95,0,0,0,0,"['396794', '944530', '944526', '944527']",112,"['944527', '396794', '944526', '944530']",112
96,0,0,0,0,['2620261'],20,['2620261'],20
97,0,0,0,0,"['2217453', '2217454', '2217451', '2217452']",28,"['2217453', '2217454', '2217451', '2217452']",28
98,0,0,0,0,"['2217453', '2217454', '2217451', '2217452']",28,"['2217453', '2217454', '2217451', '2217452']",28
99,0,0,0,0,"['135359', '380393', '298112', '181025', '393243']",72,"['380393', '181025', '135359', '298112', '393243']",64
100,0,0,0,0,"['392819', '8659', '157585', '262522', '201055', '361101']",68,"['361101', '392819', '8659', '157585', '262522', '201055']",68
